
Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alaska,US,2020-04-12 23:18:15,61,370,-152,404,272,8,66,264,2,45,504,8038,31,2,941,84000002,USA,1344,711,11,397
Arkansas,US,2020-04-12 23:18:15,34,969,-92,373,1280,27,367,1253,5,49,439,19722,130,2,109,84000005,USA,761,753,10,156
Delaware,US,2020-04-12 23:18:15,39,318,-75,507,1625,35,191,1590,10,166,878,11103,190,2,153,84000010,USA,1140,214,11,692
Guam,US,2020-04-12 23:18:15,13,444,144,793,133,5,58,128,66,80,984,826,13,3,759,316,GUM,502,956,9,774
Hawaii,US,2020-04-12 23:18:15,21,094,-157,498,499,9,300,490,15,35,245,17968,44,1,803,84000015,USA,1269,118,8,817
Iowa,US,2020-04-12 23:18:15,42,011,-93,210,1587,41,674,1546,19,60,556,17592,129,2,583,84000019,USA,671,267,8,128
Kentucky,US,2020-04-12 23:18:15,37,668,-84,670,1963,97,464,1866,21,57,342,24567,459,4,941,84000021,USA,717,640,23,382
Maine,US,2020-04-12 23:18:15,44,693,-69,381,633,19,266,614,23,53,917,6721,120,3,001,84000023,USA,572,484,18,957
Maryland,US,2020-04-12 23:18:15,39,063,-76,802,8225,236,456,7989,24,138,390,49764,1860,2,869,84000024,USA,837,307,22,613
Michigan,US,2020-04-12 23:18:15,43,326,-84,536,24244,1479,433,22765,26,304,295,79437,3636,6,100,84000026,USA,997,043,14,997
Minnesota,US,2020-04-12 23:18:15,45,694,-93,900,1621,70,842,1551,27,32,771,37421,361,4,318,84000027,USA,756,522,22,270
Montana,US,2020-04-12 23:18:15,46,921,-110,454,387,6,169,381,30,44,688,8913,47,1,550,84000030,USA,1029,230,12,144
New Hampshire,US,2020-04-12 23:18:15,43,452,-71,563,929,23,236,906,33,69,947,10925,146,2,475,84000033,USA,822,573,15,715
New Mexico,US,2020-04-12 23:18:15,34,840,-106,248,1245,26,235,1219,35,74,661,28692,78,2,088,84000035,USA,1720,625,6,265
New York,US,2020-04-12 23:18:15,42,165,-74,948,189033,9385,23887,179648,36,1121,124,461601,42594,4,964,84000036,USA,2737,680,22,532
North Dakota,US,2020-04-12 23:18:15,47,528,-99,784,308,7,121,301,38,50,790,10350,39,2,272,84000038,USA,1706,743,12,662
Oklahoma,US,2020-04-12 23:18:15,35,565,-96,928,1970,96,865,1874,40,53,859,22760,446,4,873,84000040,USA,622,260,22,639
Rhode Island,US,2020-04-12 23:18:15,41,680,-71,511,2665,63,35,2602,44,251,566,20350,201,2,363,84000044,USA,1920,969,7,542
South Dakota,US,2020-04-12 23:18:15,44,299,-99,438,730,6,197,724,46,99,199,8553,43,,821,84000046,USA,1162,262,5,890
Tennessee,US,2020-04-12 23:18:15,35,747,-86,692,5508,106,1504,5402,47,83,900,70677,567,1,924,84000047,USA,1076,584,10,294
Texas,US,2020-04-12 23:18:15,31,054,-97,563,13677,283,2014,13394,48,59,505,124533,1338,2,069,84000048,USA,541,811,9,782
Vermont,US,2020-04-12 23:18:15,44,045,-72,710,727,27,15,700,50,119,064,9841,34,3,713,84000050,USA,1611,717,4,676
West Virginia,US,2020-04-12 23:18:15,38,491,-80,954,593,6,83,587,54,44,822,16257,81,1,011,84000054,USA,1228,800,13,659
Wyoming,US,2020-04-12 23:18:15,42,756,-107,302,270,0,137,270,56,54,299,5459,40,,000,84000056,USA,1097,860,14,814
Alaska,US,2020-04-13 23:07:54,61,370,-152,404,277,8,85,269,2,46,340,7830,32,2,888,84000002,USA,1309,914,11,552
Arkansas,US,2020-04-13 23:07:54,34,969,-92,373,1410,29,391,1381,5,54,460,20804,130,2,056,84000005,USA,803,545,9,219
Delaware,US,2020-04-13 23:07:54,39,318,-75,507,1758,41,213,1717,10,180,536,11820,201,2,332,84000010,USA,1213,846,11,433
District of Columbia,US,2020-04-13 23:07:54,38,897,-77,026,1955,52,507,1903,11,277,010,10934,295,2,659,84000011,USA,1549,276,15,089
Guam,US,2020-04-13 23:07:54,13,444,144,793,133,5,58,128,66,80,984,905,12,3,759,316,GUM,551,059,9,022
Hawaii,US,2020-04-13 23:07:54,21,094,-157,498,504,9,310,495,15,35,598,18844,44,1,785,84000015,USA,1330,992,8,730
Iowa,US,2020-04-13 23:07:54,42,011,-93,210,1710,41,741,1669,19,65,249,18696,142,2,397,84000019,USA,713,393,8,304
Kentucky,US,2020-04-13 23:07:54,37,668,-84,670,2018,113,607,1905,21,58,948,25866,667,5,599,84000021,USA,755,586,33,052
Maine,US,2020-04-13 23:07:54,44,693,-69,381,698,19,273,679,23,59,454,12306,124,2,722,84000023,USA,1048,205,17,765
Maryland,US,2020-04-13 23:07:54,39,063,-76,802,8936,262,603,8674,24,150,353,51751,1975,2,931,84000024,USA,870,740,22,101
Michigan,US,2020-04-13 23:07:54,43,326,-84,536,25635,1602,447,24033,26,321,754,82644,3986,6,249,84000026,USA,1037,295,15,549
Minnesota,US,2020-04-13 23:07:54,45,694,-93,900,1621,70,842,1551,27,32,771,38427,361,4,318,84000027,USA,776,860,22,270
Montana,US,2020-04-13 23:07:54,46,921,-110,454,394,7,171,387,30,45,497,9098,47,1,776,84000030,USA,1050,593,11,928
New Hampshire,US,2020-04-13 23:07:54,43,452,-71,563,985,23,239,962,33,74,163,11207,152,2,335,84000033,USA,843,806,15,431
New Mexico,US,2020-04-13 23:07:54,34,840,-106,248,1262,26,295,1236,35,75,680,30515,80,2,060,84000035,USA,1829,948,6,339
New York,US,2020-04-13 23:07:54,42,165,-74,948,195749,10058,23887,185691,36,1160,955,478357,42712,5,138,84000036,USA,2837,057,21,819
North Dakota,US,2020-04-13 23:07:54,47,528,-99,783,331,8,127,323,38,54,582,10781,40,2,416,84000038,USA,1777,816,12,084
Oklahoma,US,2020-04-13 23:07:54,35,565,-96,928,2069,99,865,1970,40,56,566,22859,457,4,784,84000040,USA,624,966,22,087
Rhode Island,US,2020-04-13 23:07:54,41,680,-71,511,2665,63,135,2602,44,251,566,20661,331,2,363,84000044,USA,1950,326,12,420
South Dakota,US,2020-04-13 23:07:54,44,299,-99,438,868,6,207,862,46,117,952,9002,44,,691,84000046,USA,1223,277,5,069
Tennessee,US,2020-04-13 23:07:54,35,747,-86,692,5610,109,1671,5501,47,85,454,76195,579,1,942,84000047,USA,1160,637,10,320
Texas,US,2020-04-13 23:07:54,31,054,-97,563,14275,305,2269,13970,48,62,106,133226,1176,2,136,84000048,USA,579,632,8,238
Utah,US,2020-04-13 23:07:54,40,150,-111,862,2363,13,218,2350,49,82,452,45787,201,,550,84000049,USA,1597,658,8,506
Vermont,US,2020-04-13 23:07:54,44,045,-72,710,748,28,15,720,50,122,504,10366,33,3,743,84000050,USA,1697,699,4,411
West Virginia,US,2020-04-13 23:07:54,38,491,-80,954,611,8,85,603,54,46,182,16655,164,1,309,84000054,USA,1258,883,26,841
Wyoming,US,2020-04-13 23:07:54,42,756,-107,302,275,1,138,274,56,55,305,5964,41,,363,84000056,USA,1199,420,14,909
Alaska,US,2020-04-14 23:33:31,61,370,-152,404,285,9,98,276,2,47,678,8348,32,3,157,84000002,USA,1396,572,11,228
Arizona,US,2020-04-14 23:33:31,33,729,-111,431,3809,131,249,3678,4,52,330,44096,580,3,439,84000004,USA,605,821,15,227
Arkansas,US,2020-04-14 23:33:31,34,969,-92,373,1498,32,427,1466,5,57,859,21131,130,2,136,84000005,USA,816,175,8,678
Delaware,US,2020-04-14 23:33:31,39,318,-75,507,1926,43,277,1883,10,197,789,12304,204,2,232,84000010,USA,1263,550,10,591
District of Columbia,US,2020-04-14 23:33:31,38,897,-77,026,2058,67,518,1991,11,291,605,11518,295,3,255,84000011,USA,1632,024,14,334
Guam,US,2020-04-14 23:33:31,13,444,144,793,133,5,66,128,66,80,984,946,13,3,759,316,GUM,576,024,9,774
